95.164.159.93 - - [07/Apr/2024:02:29:18 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 200 5289 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "95.164.159.93" response-time=0.006
129.213.88.75 - - [07/Apr/2024:11:09:36 +0000] "GET /static/core/js/script.js HTTP/1.1" 200 609 "http://www.parth-dataexpert.com/static/core/js/script.js" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.164 Safari/537.36" "129.213.88.75" response-time=0.003
129.226.147.7 - - [07/Apr/2024:12:04:01 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "129.226.147.7" response-time=0.005
123.60.68.42 - - [07/Apr/2024:13:06:26 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Windows NT 5.7; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.2239.88 Safari/537.36" "123.60.68.42" response-time=0.002
87.236.176.139 - - [07/Apr/2024:14:16:12 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)" "87.236.176.139" response-time=0.002
87.236.176.167 - - [07/Apr/2024:14:16:12 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)" "87.236.176.167" response-time=0.001
165.22.39.64 - - [07/Apr/2024:14:16:13 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "Mozilla/5.0 (compatible; InternetMeasurement/1.0; +https://internet-measurement.com/)" "165.22.39.64" response-time=0.002
192.42.116.184 - - [07/Apr/2024:14:16:13 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" "192.42.116.184" response-time=0.001
150.109.16.20 - - [07/Apr/2024:15:03:07 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "150.109.16.20" response-time=0.002
106.76.91.38 - - [07/Apr/2024:15:04:21 +0000] "GET /?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8 HTTP/1.1" 200 3144 "https://l.instagram.com/" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.002
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 200 5363 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.007
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 200 5289 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.005
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/css/styles.css HTTP/1.1" 200 1730 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.004
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/parth.png HTTP/1.1" 200 325649 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.016
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 200 2621 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.002
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 200 4172 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.003
106.76.91.38 - - [07/Apr/2024:15:04:22 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 200 6100 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.003
106.76.91.38 - - [07/Apr/2024:15:04:23 +0000] "GET /static/core/images/de_prot.png HTTP/1.1" 200 4012 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.003
106.76.91.38 - - [07/Apr/2024:15:04:23 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 200 4448 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.004
106.76.91.38 - - [07/Apr/2024:15:04:23 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 200 6844 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.004
106.76.91.38 - - [07/Apr/2024:15:04:23 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 200 3460 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.003
106.76.91.38 - - [07/Apr/2024:15:04:23 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "https://www.parth-dataexpert.com/?fbclid=PAAaYci8bnT103QdGphVrWjSTMq_bquiWAAhdO_4LPocZS-xb7mKtDmf2VMe8" "Mozilla/5.0 (Linux; Android 13; EB2101 Build/TP1A.220905.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/123.0.6312.40 Mobile Safari/537.36 Instagram 325.0.0.35.91 Android (33/13; 540dpi; 1080x2231; OnePlus; EB2101; OnePlusNordCE; qcom; en_US; 583952098)" "106.76.91.38" response-time=0.001
47.89.195.210 - - [07/Apr/2024:16:23:33 +0000] "GET / HTTP/1.1" 200 3144 "-" "Mozilla/5.0 (Linux; Android 11; M2004J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36" "47.89.195.210" response-time=0.002
47.88.6.178 - - [07/Apr/2024:16:23:34 +0000] "GET /Public/home/js/check.js HTTP/1.1" 404 207 "-" "Mozilla/5.0 (Linux; Android 11; M2004J15SC) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Mobile Safari/537.36" "47.88.6.178" response-time=0.001
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U HTTP/1.1" 200 3144 "https://www.instagram.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.009
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/css/styles.css HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.006
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/js/script.js HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.004
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/se_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_prot.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/parth.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:18:17:11 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/?fbclid=PAAabtciespZoFEgqt-vVhP10sgqhEkPUKC2L-80WoYay9aUBQrcGuAJPRSuM_aem_AUU0pwMJ0GJdSLKjZU5wfAJk0W-kSaptWnjiNK8n9wX_N6f9pVEhn7IlD_nrJWAgu3U" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/21E236 Instagram 325.0.3.34.90 (iPhone14,7; iOS 17_4_1; en_CA; en; scale=3.00; 1170x2532; 584303227)" "99.250.177.58" response-time=0.001
192.87.174.28 - - [07/Apr/2024:19:11:06 +0000] "GET / HTTP/1.1" 200 3144 "-" "Python/3.10 aiohttp/3.9.3" "192.87.174.28" response-time=0.003
13.82.54.38 - - [07/Apr/2024:20:44:38 +0000] "GET / HTTP/1.1" 200 3144 "http://parth-dataexpert.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.71 Safari/534.24" "13.82.54.38" response-time=0.003
43.157.66.187 - - [07/Apr/2024:21:05:44 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "43.157.66.187" response-time=0.002
99.250.177.58 - - [07/Apr/2024:21:45:11 +0000] "GET /static/core/css/styles.css HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.006
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/de_figma.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/parth.png HTTP/1.1" 200 325649 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.012
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/js/script.js HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/data_collection.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/de_processing.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.001
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/data_transformation.png HTTP/1.1" 200 6100 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.002
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/de_modeling.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/de_opt.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.003
99.250.177.58 - - [07/Apr/2024:21:45:12 +0000] "GET /static/core/images/data_maintenance.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36" "99.250.177.58" response-time=0.002
35.203.253.2 - - [07/Apr/2024:22:45:15 +0000] "GET /favicon.ico HTTP/1.1" 404 207 "-" "python-requests/2.31.0" "35.203.253.2" response-time=0.003
43.163.8.148 - - [08/Apr/2024:01:17:22 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com" "Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1" "43.163.8.148" response-time=0.003
15.204.182.106 - - [08/Apr/2024:01:26:24 +0000] "GET / HTTP/1.1" 200 3144 "http://www.parth-dataexpert.com/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36" "15.204.182.106" response-time=0.004
99.250.177.58 - - [08/Apr/2024:01:49:14 +0000] "GET / HTTP/1.1" 200 3144 "https://www.linkedin.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.4623" "99.250.177.58" response-time=0.003
99.250.177.58 - - [08/Apr/2024:01:49:14 +0000] "GET /static/core/css/styles.css HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.4623" "99.250.177.58" response-time=0.004
99.250.177.58 - - [08/Apr/2024:01:49:14 +0000] "GET /static/core/images/de_storage.png HTTP/1.1" 304 0 "https://www.parth-dataexpert.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]/9.29.4623" "99.250.177.58" response-time=0.004
